year,begincash,revenues,propertytax,salestax,interest,expenditures,surplus,endcash
2009,1673000,3446000,409000,438000,NA,3353000,93000,1766000
2010,1766000,3563000,431000,727000,NA,3154000,409000,2175000
2011,2175000,3921000,544000,359000,NA,3626000,295000,2470000
2012,2470000,3534000,538000,415000,NA,3362000,172000,2642000
2013,2642000,4538000,600000,1514000,NA,3030000,1508000,4150000
2014,4150000,4078000,592000,1678000,NA,3684000,394000,4544000
2015,4542000,3783000,730000,825000,74000,3104000,679000,5222000
